number,part,slug,qty per robot,material,size mm (x y z),solid volume cm3,sliced weight g (FDM 0.2 mm),process now,at 1000 units,drawing PDF,STL,STEP,geometry source
15,Neck Pitch Bracket,microduck-neck-pitch-bracket,1,PLA,35.0 x 18.0 x 27.7,4.11,4.38,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
16,Neck Plate,microduck-neck-plate,2,PLA,2.0 x 20.0 x 11.0,0.4,0.55,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
17,Power Support,microduck-power-support,1,PLA,54.5 x 17.0 x 83.1,10.79,13.15,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,Current CAD revision
18,Shin,microduck-shin,2,PLA,8.0 x 20.0 x 58.0,3.39,3.6,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,our parametric rebuild (latest PASS refcheck ours.stl)
19,Soft Mouth Top,microduck-soft-mouth-top,1,TPU,87.8 x 32.6 x 3.3,2.7,,FDM print (TPU),keep printing (small bracket) or MJF,,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
20,Sole Left,microduck-sole-left,1,TPU,41.1 x 54.0 x 12.9,6.25,7.07,FDM print (TPU),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
21,Sole Right,microduck-sole-right,1,TPU,41.1 x 54.0 x 12.9,6.25,7.07,FDM print (TPU),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
22,Top Head Shell,microduck-top-head-shell,1,PLA,91.8 x 122.7 x 46.3,29.87,,FDM print (PLA),visible part: injection mould candidate after DFM redesign,,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
23,Trunk Base,microduck-trunk-base,1,PLA,57.0 x 36.0 x 3.0,1.41,1.82,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,our parametric rebuild (latest PASS refcheck ours.stl)
24,Trunk Shell Left,microduck-trunk-shell-left,1,PLA,33.7 x 80.9 x 41.7,11.39,,FDM print (PLA),visible part: injection mould candidate after DFM redesign,,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
25,Trunk Shell Right,microduck-trunk-shell-right,1,PLA,31.8 x 80.9 x 41.7,11.22,,FDM print (PLA),visible part: injection mould candidate after DFM redesign,,in Packet A / STL zip,in Packet A / STEP zip,vendor mesh as shelved (ce-parts iterations geometry)
26,Upper Leg Left,microduck-upper-leg-left,1,PLA,28.0 x 47.7 x 61.0,4.22,4.67,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,Current CAD revision
27,Upper Leg Right,microduck-upper-leg-right,1,PLA,28.0 x 47.7 x 61.0,4.22,4.67,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,Current CAD revision
28,Upper Leg Rigidity Plate,microduck-upper-leg-rigidity-plate,2,PLA,1.0 x 45.0 x 58.1,0.75,1.0,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,"vendor mesh (Pollen reference asset, loaded as-is)"
29,Yaw Roll Motion,microduck-yaw-roll-motion,1,PLA,34.0 x 35.9 x 22.5,4.63,4.71,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,Current CAD revision
30,Yaw2Roll,microduck-yaw2roll,2,PLA,23.0 x 25.8 x 20.5,2.83,2.96,FDM print (PLA),keep printing (small bracket) or MJF,yes,in Packet A / STL zip,in Packet A / STEP zip,our parametric rebuild (latest PASS refcheck ours.stl)
