line_id,section,item,qty_per_robot,qty_unit,verdict,unit_price,currency,per_robot_cost,price_basis,vendor,source_url,fetched,note
B12,module,"Speaker, 35 x 25 x 7 mm, 8 ohm, 2 W (head)",1,,CANNOT DETERMINE,9.78000,USD,9.7800,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); Soberton SPM-2035NU; the Soberton SPM-2035NU body is 39.0000 x 20.0000 x 8.2000 mm against a 35.0000 x 25.0000 x 7.0000 mm cavity - it does not fit as drawn. The line is graded CANNOT DETERMINE; THIS LINE IS GRADED CANNOT DETERMINE - the price is readable, the line is not graded buyable",DigiKey,https://www.digikey.com/en/products/detail/soberton-inc/SPM-2035NU/10638200,2026-09-02,unknown; two catalogued substitutes priced
B13,module,Microphone(s),CANNOT DETERMINE,,CANNOT DETERMINE,CANNOT DETERMINE,,CANNOT DETERMINE,"Nothing about this line is known - not the part, not the type, not the count, not the placement. There is no URL to try because there is no part to look up.",,,,unknown
B14,ic,NFC reader IC + 2 antennas (head and beak),1,,PASS,5.39970,USD,5.3997,cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); ST25R3916-AQWT (C2908147),LCSC,https://www.lcsc.com/product-detail/C2908147.html,2026-09-02,candidate set of two
B15,ic,Camera-in-use indicator LED,1,,CANNOT DETERMINE,CANNOT DETERMINE,,CANNOT DETERMINE,"Nothing is known beyond the press kit sentence. A 0603 LED is a five-cent part; the reason this stays open is that its placement is a mechanical and regulatory question (a privacy indicator), not a price question.",,,,unknown
B16,module,Bluetooth gamepad (Xbox-style),1,,CANNOT DETERMINE,CANNOT DETERMINE,,CANNOT DETERMINE,"The gamepad is INCLUDED in Pollen's $399 retail bundle, so no price for it alone exists on any Pollen page; and the model is unnamed, so no third-party price applies to it.",,,,unknown
B17,connector,USB-C cable,1,,CANNOT DETERMINE,CANNOT DETERMINE,,CANNOT DETERMINE,Included in the retail bundle; no separate price and no specification.,,,,unknown
B18a,fastener,"M2 x 6 socket head cap screw, A2 stainless, DIN 912",80,,PASS,0.04860,EUR,3.8880,"no USD price was read; the vendor's own currency at the tier a 1-robot order reaches, NOT converted (no FX rate was fetched)",RST-Versand (DE),https://www.rst-versand.de/Zylinderschraube-Innensechskant-M2-x-6-mm-A2-DIN912_1,2026-09-02,standard
B18b,fastener,"M2 socket head cap screws, other lengths (x4, x8, x12) + M2 nuts + M2.5x6",185,,CANNOT DETERMINE,CANNOT DETERMINE,,CANNOT DETERMINE,"Only ONE distributor rendered a price for these sizes (ModelFixings, GBP inc VAT, 25-piece packs), so the two-distributor bar is not met; the fifth size (M2.5x6) has no price anywhere; and the nut ModelFixings prices is steel BZP, not the A2 stainless the rest of the schedule specifies. The line moved from 'no price at all' to 'one shop, one currency, four of five sizes' - which is progress, and is not a price.",,,,standard
B18c,fastener,"M2 heat-set threaded inserts, brass, ~3.0 mm",60,,PASS,0.11990,USD,7.1940,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 100+); vendor publishes no tier table, so @1 is a CEILING; Heat-set inserts M2 short, 100 pcs",Prusa Research (US shop),https://www.prusa3d.com/product/heat-set-inserts-m2-short-100-pcs/,2026-09-02,"standard class, vendor-specific part"
B19a,filament,PLA filament (hard printed parts),0.218295,kg,PASS,22.99000,USD,5.0186,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; A00-K00-1.75-1000-SPL-US (Black)",GigaParts (US),https://www.gigaparts.com/bambu-lab-pla-basic-black-3d-printer-filament-1-75mm-1kg-spool.html,2026-09-02,The slice was run with filament preset 'Bambu PLA Basic @BBL H2S' on a Bambu Lab H2S. Sourcing a DIFFERENT PLA invalidates the 218.2946 g and 9.935 h figures until re-sliced.
B19b,filament,"TPU filament (soft parts: soles x2, jaw_soft, soft_mouth_top)",0.0262028,kg,PASS,38.99000,USD,1.0216,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); vendor publishes no tier table, so @1 is a CEILING; U04-K0-1.75-1000-SPL (Black)",GigaParts (US),https://www.gigaparts.com/bambu-lab-tpu-85a-black-3d-printer-filament-1-75mm-1kg-spool.html,2026-09-02,Pollen's durometer is CANNOT DETERMINE (docs/BOM.md; community says 90-95A). We sliced 85A because that is the preset the H2S resolves; if the real part is 95A the grams change and the sole friction changes.
P1c,ic,TLV320AIC3104IRHBR stereo audio codec (on the Robot HAT),1,,PASS,2.25180,USD,2.2518,cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); C181753,LCSC,https://lcsc.com/product-detail/Audio-OpAmps_TI_TLV320AIC3104IRHBR_TLV320AIC3104IRHBR_C181753.html,2026-09-02,confirmed
P2c,ic,"LSM6DSV16X 6-axis IMU (on the imu_to_dxl board, Dynamixel slave ID 200)",1,,PASS,3.62980,USD,3.6298,cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); C5267406,LCSC,https://www.lcsc.com/product-detail/C5267406.html,2026-09-02,confirmed
P1d,ic,BMI088 6-axis IMU (dormant footprint on the Robot HAT),1,,PASS,5.92000,USD,5.9200,cheapest READ USD offer at the tier a 1-robot order reaches (tier 1+); 828-1082-1-ND,DigiKey (cut tape / Digi-Reel),https://www.digikey.com/en/products/detail/bosch-sensortec/BMI088/8634942,2026-09-02,confirmed
R1,ic,USB-C CC/PD controller fitted on the Radxa ZERO 3W (reference line - NOT separately purchased),0,,CANNOT DETERMINE,NOT ORDERED,,NOT ORDERED,deliberately outside every subtotal: reference line: qty per robot is 0 - the part arrives fitted inside another purchase and is never ordered separately,,,,"two names, one socket - resolved by lane C in favour of ET7301B on the schematic"
R2,ic,"MCP73213 2S Li-ion charge controller (in the external charger, not the robot)",0,,PASS,NOT ORDERED,,NOT ORDERED,deliberately outside every subtotal: reference line: qty per robot is 0 - the part arrives fitted inside another purchase and is never ordered separately,,,,family confirmed (part:mcp73213 verdict PASS); the exact option suffix a bespoke charger needs depends on the chosen float voltage (8.2 / 8.4 / 8.7 / 8.8 V)
R3,ic,"S-8252 2S battery protection IC (inside the NP-F550 pack, not separately purchased)",0,,CANNOT DETERMINE,NOT ORDERED,,NOT ORDERED,deliberately outside every subtotal: reference line: qty per robot is 0 - the part arrives fitted inside another purchase and is never ordered separately,,,,"series confirmed, option unknown"
C1,connector,"JST EH 3-pin connector kit for the Dynamixel bus, if the harness is crimped rather than bought",1,,PASS,NOT ORDERED,,NOT ORDERED,"deliberately outside every subtotal: ALTERNATIVE to line B2 (bought ROBOTIS X3P leads), never additional to it. Costed in the alternates column, not in the subtotal.",,,,confirmed - these are exactly the parts wiring/CABLES.md names
C2,connector,JST SH 4-pin (ToF / Stemma) and GH 2-pin (speaker) housings,1,,PASS,see kit detail,USD,0.4000,cheapest READ USD offer at the tier a 1-robot order reaches; SHR-04V-S-B x2 @ $0.10000 + GHR-02V-S x2 @ $0.10000,DigiKey (kit),,,SH 4-pin confirmed at the HAT's J5; the ToF-board end and the HAT speaker end are CANNOT DETERMINE
P1,pcb,"Robot HAT - custom PCB, bare board + assembly",1,,FAIL,5.03751,USD,5.0375,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 3+); 2-Layer Prototype (set of 3) / 2 Layer Medium Run; THIS LINE IS GRADED FAIL - the price is readable, the line is not graded buyable",OSH Park (US),https://docs.oshpark.com/services/two-layer/,2026-09-03,"THE DESIGN EXISTS AND IS IN THIS REPOSITORY. electronics/robot-hat/out/fab/ holds microduck_robot_hat-fab.zip plus the loose Gerbers (F.Cu.GTL, B.Cu.GBL, F/B.Mask, F/B.Silk, F/B.Paste, Edge.Cuts.GKO), PTH.drl and NPTH.drl, positions.csv, bom.csv and the .kicad_pcb. Until 2026-09-03 this line read 'There is nothing to send a fab' - a refusal the repository itself contradicted, and the reason the largest unknown in the cost model stayed unpriced. Board data below is measured off that .kicad_pcb, not transcribed: 1 759 copper segments (879 at 0.1500 mm, 803 at 0.3000 mm, 61 at 0.8000 mm, 10 at 0.2500 mm, 4 at 0.2000 mm, 2 at 0.4000 mm), 33 vias at 0.800 mm pad / 0.300 mm drill, 64 through-hole pads, 97 drilled holes in all."
P2,pcb,"imu_to_dxl v2 - custom PCB, bare board + assembly",1,,FAIL,2.27334,USD,2.2733,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 3+); 2-Layer Prototype (set of 3) / 2 Layer Medium Run; THIS LINE IS GRADED FAIL - the price is readable, the line is not graded buyable",OSH Park (US),https://docs.oshpark.com/services/two-layer/,2026-09-03,"THE DESIGN EXISTS AND IS IN THIS REPOSITORY: electronics/imu-to-dxl/out/fab/ holds the fab zip, the loose Gerbers, PTH/NPTH drills, positions.csv and bom.csv. Measured off the .kicad_pcb: 590 copper segments (383 at 0.1500 mm, 190 at 0.3000 mm, 9 at 0.4000 mm, 8 at 2.0000 mm), 27 vias (23 at 0.800 mm pad / 0.300 mm drill, 4 at 1.000 mm / 0.300 mm), 11 through-hole pads, 38 drilled holes in all."
P3,pcb,"Banana battery-contact PCB - custom, bare board + contacts",1,,CANNOT DETERMINE,33.00000,USD,33.0000,"cheapest READ USD offer at the tier a 1-robot order reaches (tier 3+); vendor publishes no tier table, so @1 is a CEILING; $33 Each Special; THIS LINE IS GRADED CANNOT DETERMINE - the price is readable, the line is not graded buyable",AdvancedPCB / Advanced Circuits (US),https://www.advancedpcb.com/en-us/33-each-special/,2026-09-03,"THE OUTLINE IS NOT UNKNOWN. Measured off Edge.Cuts.GKO / the .kicad_pcb in electronics/banana-contact/out/fab/: a single closed rounded rectangle 45.8000 x 4.6000 mm, corner radius 0.5000 mm, no internal cut-outs, three 0.8000 mm plated holes, copper tracks 0.4000 mm (1) and 1.5000 mm (2). Until 2026-09-03 this line said 'Board outline, contact part, plating, current rating, price: all CANNOT DETERMINE'; three of those five were already answered on disk. PLATING is ENIG and the board's own fab README says why - 'A sliding spring contact on a HASL pad cold-flows and oxidises' - and JLCPCB publishes ENIG as an order option on this process. CURRENT CAPACITY is 3.21 A at a 10 degC rise (4.35 A at 20 degC) for the two 1.500 mm tracks on 1 oz outer copper, by IPC-2221 6.2 I = 0.048*dT^0.44*A^0.725; it is the current DEMAND that is CANNOT DETERMINE, because Sony publishes no maximum continuous discharge for the NP-F pack and wiring/CABLES.md's 1 A-per-moving-servo worst case is stated there as an assumption."
