section,item,qty_per_robot,unit_price,currency,price_basis,vendor,source_url,note
bought,USB-C cable,1,included with robot,,,Pollen,https://store.pollen-robotics.com/products/microduck,
bought,22-pin MIPI CSI ribbon,1,CANNOT DETERMINE,,length unknown,,,
fasteners,M2x4 socket head,60,CANNOT DETERMINE,,community buy estimate incl. spares; lengths inferred from hole depths,,,"community mesh-derived, flagged (fanhao375)"
fasteners,M2x6 socket head (priced line),80,0.0434,EUR,100-pack EUR4.34,RST-Versand,https://www.rst-versand.de/Zylinderschraube-Innensechskant-M2-x-6-mm-A2-DIN912_1,components.md prices 195 screws as-if M2x6: EUR8.46/robot
fasteners,M2x8 socket head,40,CANNOT DETERMINE,,not read at a vendor,,,community estimate
fasteners,M2x12 socket head,15,CANNOT DETERMINE,,not read,,,community estimate
fasteners,M2 nuts,50,CANNOT DETERMINE,,not read,,,community estimate
fasteners,M2 heat-set inserts,60,0.1199,USD,$11.99/100,Prusa Research,https://www.prusa3d.com/product/heat-set-inserts-m2-short-100-pcs/,inserts vs tapped plastic on production: CANNOT DETERMINE; CNC Kitchen EUR9.90/100 https://cnckitchen.store/products/heat-set-insert-m2-x-3-100-pieces
fasteners,M2.5x6 socket head,20,CANNOT DETERMINE,,only M2.5x8 rendered (EUR4.67/100 der-schraubenladen),,https://shop.der-schraubenladen.de/DIN-912-ISO-4762-Zylinderschraube-Innensechskant-Edelstahl-A2/SW11250.54,
custom-pcb,"Robot HAT (P1, 65x30 Pi-Zero footprint)",1,CANNOT DETERMINE,,no design files published; board+assembly quote needed,,,"carries TLV320AIC3104 codec, dormant BMI088, Stemma J5, power path"
custom-pcb,TLV320AIC3104IRHBR codec (chip on P1),1,2.25,USD,@1; 100+ $1.389; 3000 $1.2288,LCSC C181753,https://lcsc.com/product-detail/Audio-OpAmps_TI_TLV320AIC3104IRHBR_TLV320AIC3104IRHBR_C181753.html,DigiKey $3.82 @1 https://www.digikey.com/en/products/detail/texas-instruments/TLV320AIC3104IRHBR/1906853
custom-pcb,"imu_to_dxl v2 board (P2, LSM6DSV16X + MCU)",1,CANNOT DETERMINE,,custom; outline/MCU/transceiver unknown,,,Dynamixel Protocol-2 slave ID 200
custom-pcb,banana battery-contact PCB (P3),1,CANNOT DETERMINE,,shape/contacts unknown,,,clamped by banana_pcb_locker
printed,PLA filament for 32 hard pieces (26 slugs),~,218.29 g total (out/print/slice.json),,"grams from ce-slice (BambuStudio 02.08.02.61), price of spool CANNOT DETERMINE",,,
printed,TPU filament for 4 soft pieces,~,26.20 g total (out/print/slice.json),,TPU durometer CANNOT DETERMINE (community 90-95A),,,
